# BOBMOE0 stage=1 arm=moe deterministic metrics log
# arm_seed=28271 perm_seed=28371 param_total=17118720
step	lr	ce	aux	loss	gradnorm
159	2.85763526378133388e-03	1.98881661891937256e+00	1.13740611076354980e+00	2.00019073486328125e+00	8.83756935596466064e-01
160	2.85285880765429652e-03	2.08392786979675293e+00	1.11941409111022949e+00	2.09512209892272949e+00	6.46725654602050781e-01
161	2.84800815353003283e-03	1.94846403598785400e+00	1.12073397636413574e+00	1.95967137813568115e+00	6.70444667339324951e-01
162	2.84308360061973639e-03	1.86142015457153320e+00	1.10693156719207764e+00	1.87248945236206055e+00	5.61498463153839111e-01
163	2.83808545269302820e-03	1.97028613090515137e+00	1.12859988212585449e+00	1.98157215118408203e+00	6.43136143684387207e-01
164	2.83301401805921603e-03	1.97183799743652344e+00	1.12382674217224121e+00	1.98307621479034424e+00	6.48574948310852051e-01
165	2.82786960954827622e-03	1.88030219078063965e+00	1.13056993484497070e+00	1.89160788059234619e+00	5.88303029537200928e-01
166	2.82265254449155832e-03	2.02256751060485840e+00	1.13954281806945801e+00	2.03396296501159668e+00	5.86940646171569824e-01
167	2.81736314470220966e-03	2.10370492935180664e+00	1.15526497364044189e+00	2.11525750160217285e+00	6.82354986667633057e-01
168	2.81200173645532398e-03	2.10166454315185547e+00	1.17555844783782959e+00	2.11342000961303711e+00	5.94656467437744141e-01
169	2.80656865046781737e-03	1.89791107177734375e+00	1.14749455451965332e+00	1.90938603878021240e+00	5.73395669460296631e-01
170	2.80106422187802444e-03	2.00955820083618164e+00	1.15392005443572998e+00	2.02109742164611816e+00	9.74640786647796631e-01
171	2.79548879022503043e-03	1.89005064964294434e+00	1.15880846977233887e+00	1.90163874626159668e+00	8.09642553329467773e-01
172	2.78984269942772044e-03	2.03749775886535645e+00	1.17358529567718506e+00	2.04923367500305176e+00	7.19350397586822510e-01
173	2.78412629776357166e-03	2.12417078018188477e+00	1.14425492286682129e+00	2.13561344146728516e+00	8.65295946598052979e-01
174	2.77833993784716527e-03	1.92986214160919189e+00	1.14122688770294189e+00	1.94127440452575684e+00	7.46568739414215088e-01
175	2.77248397660843611e-03	1.96932256221771240e+00	1.14250278472900391e+00	1.98074758052825928e+00	7.91567206382751465e-01
176	2.76655877527065813e-03	1.96950685977935791e+00	1.15458047389984131e+00	1.98105263710021973e+00	6.26065135002136230e-01
177	2.76056469932816099e-03	2.13265013694763184e+00	1.15138053894042969e+00	2.14416384696960449e+00	6.41373157501220703e-01
178	2.75450211852378132e-03	1.95660209655761719e+00	1.14268136024475098e+00	1.96802890300750732e+00	6.93775177001953125e-01
179	2.74837140682606274e-03	1.98862111568450928e+00	1.15142798423767090e+00	2.00013542175292969e+00	5.89985132217407227e-01
180	2.74217294240617889e-03	1.86519408226013184e+00	1.12969779968261719e+00	1.87649106979370117e+00	7.87286758422851562e-01
181	2.73590710761461393e-03	1.89863598346710205e+00	1.13028311729431152e+00	1.90993881225585938e+00	6.00514590740203857e-01
182	2.72957428895757252e-03	2.00949048995971680e+00	1.14488852024078369e+00	2.02093935012817383e+00	5.85317015647888184e-01
183	2.72317487707313859e-03	1.83664882183074951e+00	1.14371037483215332e+00	1.84808588027954102e+00	6.38589024543762207e-01
184	2.71670926670718226e-03	1.96666729450225830e+00	1.12635052204132080e+00	1.97793078422546387e+00	5.76609432697296143e-01
185	2.71017785668900557e-03	1.97445321083068848e+00	1.11991107463836670e+00	1.98565232753753662e+00	5.69887280464172363e-01
186	2.70358104990674501e-03	2.00775027275085449e+00	1.19278693199157715e+00	2.01967811584472656e+00	5.38142740726470947e-01
187	2.69691925328251637e-03	1.95668196678161621e+00	1.19051384925842285e+00	1.96858716011047363e+00	5.92164158821105957e-01
188	2.69019287774731547e-03	1.88781154155731201e+00	1.20155704021453857e+00	1.89982712268829346e+00	6.03040933609008789e-01
189	2.68340233821566911e-03	2.00871491432189941e+00	1.14766442775726318e+00	2.02019166946411133e+00	7.64707624912261963e-01
190	2.67654805356004177e-03	1.90515673160552979e+00	1.16053926944732666e+00	1.91676211357116699e+00	5.80978751182556152e-01
191	2.66963044658499781e-03	1.97987520694732666e+00	1.14761030673980713e+00	1.99135136604309082e+00	5.34668028354644775e-01
192	2.66264994400112033e-03	1.95179152488708496e+00	1.15416884422302246e+00	1.96333324909210205e+00	5.64813017845153809e-01
193	2.65560697639868979e-03	1.96035635471343994e+00	1.16959822177886963e+00	1.97205233573913574e+00	5.63366174697875977e-01
194	2.64850197822112318e-03	1.98555934429168701e+00	1.15821242332458496e+00	1.99714148044586182e+00	6.24386966228485107e-01
195	2.64133538773817520e-03	1.95209336280822754e+00	1.17320919036865234e+00	1.96382546424865723e+00	5.82371056079864502e-01
196	2.63410764701890558e-03	1.91772687435150146e+00	1.17920565605163574e+00	1.92951893806457520e+00	6.66495561599731445e-01
197	2.62681920190440624e-03	1.88345837593078613e+00	1.17829191684722900e+00	1.89524126052856445e+00	5.96510946750640869e-01
198	2.61947050198030459e-03	1.88545227050781250e+00	1.15534102916717529e+00	1.89700567722320557e+00	5.64195156097412109e-01
199	2.61206200054902747e-03	1.90955114364624023e+00	1.15414452552795410e+00	1.92109262943267822e+00	5.33940792083740234e-01
200	2.60459415460183915e-03	1.83918511867523193e+00	1.15792560577392578e+00	1.85076439380645752e+00	5.59217393398284912e-01
201	2.59706742479065555e-03	1.90455186367034912e+00	1.15693783760070801e+00	1.91612124443054199e+00	5.90637862682342529e-01
202	2.58948227539962427e-03	1.95764362812042236e+00	1.16349470615386963e+00	1.96927857398986816e+00	5.13354599475860596e-01
203	2.58183917431649033e-03	1.77945971488952637e+00	1.14285516738891602e+00	1.79088830947875977e+00	6.05737507343292236e-01
