arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
dense,14000,class,ffn.up,12582912,4200739,4179559,4202614,0.333844741,0.332161506,0.333993753,1.584958
dense,14000,pooled,ALL,50331648,16711397,16902735,16717516,0.332025627,0.335827172,0.332147201,1.584942
dense,15000,class,attn.wk,3145728,1027383,1092049,1026296,0.326596260,0.347153028,0.326250712,1.584347
dense,15000,class,attn.wo,3145728,1043798,1057627,1044303,0.331814448,0.336210569,0.331974983,1.584936
dense,15000,class,attn.wq,3145728,1022251,1099005,1024472,0.324964841,0.349364281,0.325670878,1.584134
dense,15000,class,attn.wv,3145728,1050853,1043977,1050898,0.334057172,0.331871351,0.334071477,1.584956
dense,15000,class,ffn.down,12582912,4178877,4224823,4179212,0.332107306,0.335758766,0.332133929,1.584943
dense,15000,class,ffn.gate,12582912,4186116,4207696,4189100,0.332682610,0.334397634,0.332919757,1.584959
dense,15000,class,ffn.up,12582912,4199412,4182448,4201052,0.333739281,0.332391103,0.333869616,1.584960
dense,15000,pooled,ALL,50331648,16708690,16907625,16715333,0.331971844,0.335924327,0.332103829,1.584941
dense,15259,class,attn.wk,3145728,1027409,1091874,1026445,0.326604525,0.347097397,0.326298078,1.584352
dense,15259,class,attn.wo,3145728,1043935,1058003,1043790,0.331857999,0.336330096,0.331811905,1.584933
dense,15259,class,attn.wq,3145728,1022288,1098782,1024658,0.324976603,0.349293391,0.325730006,1.584141
dense,15259,class,attn.wv,3145728,1051180,1043431,1051117,0.334161123,0.331697782,0.334141095,1.584954
dense,15259,class,ffn.down,12582912,4178750,4225109,4179053,0.332097212,0.335781495,0.332121293,1.584943
dense,15259,class,ffn.gate,12582912,4185200,4208559,4189153,0.332609812,0.334466219,0.332923969,1.584958
dense,15259,class,ffn.up,12582912,4199257,4182933,4200722,0.333726962,0.332429647,0.333843390,1.584960
dense,15259,pooled,ALL,50331648,16708019,16908691,16714938,0.331958512,0.335945507,0.332095981,1.584940
