# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
9,4,7,411041,8.22134616615463332e-02
9,5,6,172464,3.44950076804915531e-02
9,5,7,193513,3.87050771249359965e-02
9,6,7,237424,4.74878392217101888e-02
10,0,1,166113,3.32247263824884814e-02
10,0,2,412295,8.24642777137736815e-02
10,0,3,87059,1.74129144265232974e-02
10,0,4,84721,1.69452844982078861e-02
10,0,5,84215,1.68440780209933444e-02
10,0,6,368678,7.37403193804403445e-02
10,0,7,154726,3.09471806195596513e-02
10,1,2,147519,2.95056883640552985e-02
10,1,3,239245,4.78520625320020473e-02
10,1,4,99961,1.99934795826932910e-02
10,1,5,157970,3.15960221454173046e-02
10,1,6,100122,2.00256816436251914e-02
10,1,7,123842,2.47699852790578580e-02
10,2,3,191276,3.82576484895033250e-02
10,2,4,251448,5.02928187403993837e-02
10,2,5,104209,2.08431339605734782e-02
10,2,6,146458,2.92934747823860725e-02
10,2,7,288424,5.76884920634920667e-02
10,3,4,96749,1.93510384664618527e-02
10,3,5,131518,2.63052835381464428e-02
10,3,6,55395,1.10797091013824893e-02
10,3,7,149890,2.99799187147977465e-02
10,4,5,125994,2.52004128264208919e-02
10,4,6,421195,8.42443916410650223e-02
10,4,7,310212,6.20463709677419387e-02
10,5,6,227578,4.55185131848438312e-02
10,5,7,160764,3.21548579109062968e-02
10,6,7,112104,2.24222350230414737e-02
11,0,1,419402,8.38857686891961024e-02
11,0,2,312031,6.24101942524321537e-02
11,0,3,116084,2.32182859703021008e-02
11,0,4,361322,7.22690252176139275e-02
11,0,5,106166,2.12345590117767533e-02
11,0,6,261650,5.23333493343573972e-02
11,0,7,240204,4.80438748079877118e-02
11,1,2,55847,1.11701148873527903e-02
11,1,3,295656,5.91349846390168965e-02
11,1,4,50626,1.01258480542754728e-02
11,1,5,141302,2.82622087813620068e-02
11,1,6,88687,1.77385352662570404e-02
11,1,7,33489,6.69822868663594480e-03
11,2,3,36121,7.22466237839221748e-03
11,2,4,83658,1.67326708909370202e-02
11,2,5,381221,7.62490799411162379e-02
11,2,6,38736,7.74769585253456180e-03
11,2,7,133940,2.67897145417306699e-02
11,3,4,48864,9.77342549923195143e-03
11,3,5,66631,1.33270529313876084e-02
11,3,6,31948,6.39000896057347664e-03
11,3,7,202672,4.05369943676395297e-02
11,4,5,578184,1.15644201228878654e-01
11,4,6,76147,1.52303747439836157e-02
11,4,7,105080,2.10173451100870469e-02
11,5,6,540832,1.08173323092677937e-01
11,5,7,41747,8.34993439580133077e-03
11,6,7,151433,3.02885384664618521e-02
