# BOBMOE0 stage=1 arm=dense deterministic metrics log
# arm_seed=28272 perm_seed=28372 param_total=5312000
step	lr	ce	aux	loss	gradnorm
131	2.96018373918253237e-03	2.11438727378845215e+00	0.00000000000000000e+00	2.11438727378845215e+00	7.44384646415710449e-01
132	2.95758726752365234e-03	2.05148243904113770e+00	0.00000000000000000e+00	2.05148243904113770e+00	8.04141700267791748e-01
133	2.95491013772282473e-03	2.08773994445800781e+00	0.00000000000000000e+00	2.08773994445800781e+00	9.66669499874114990e-01
134	2.95215251491802748e-03	2.03614759445190430e+00	0.00000000000000000e+00	2.03614759445190430e+00	7.98148155212402344e-01
135	2.94931456921242391e-03	2.04300999641418457e+00	0.00000000000000000e+00	2.04300999641418457e+00	8.01223039627075195e-01
136	2.94639647566387287e-03	2.10102009773254395e+00	0.00000000000000000e+00	2.10102009773254395e+00	6.87726140022277832e-01
137	2.94339841427413091e-03	2.06798791885375977e+00	0.00000000000000000e+00	2.06798791885375977e+00	7.77475118637084961e-01
138	2.94032056997774530e-03	2.06672430038452148e+00	0.00000000000000000e+00	2.06672430038452148e+00	8.24833810329437256e-01
139	2.93716313263065170e-03	2.13558244705200195e+00	0.00000000000000000e+00	2.13558244705200195e+00	7.77970612049102783e-01
140	2.93392629699845741e-03	2.23860287666320801e+00	0.00000000000000000e+00	2.23860287666320801e+00	7.20129191875457764e-01
141	2.93061026274443097e-03	2.12167930603027344e+00	0.00000000000000000e+00	2.12167930603027344e+00	8.54051232337951660e-01
142	2.92721523441718612e-03	2.00661349296569824e+00	0.00000000000000000e+00	2.00661349296569824e+00	1.14231979846954346e+00
143	2.92374142143806120e-03	2.04374694824218750e+00	0.00000000000000000e+00	2.04374694824218750e+00	7.28951156139373779e-01
144	2.92018903808820458e-03	2.17894291877746582e+00	0.00000000000000000e+00	2.17894291877746582e+00	8.64096641540527344e-01
145	2.91655830349535393e-03	1.98046195507049561e+00	0.00000000000000000e+00	1.98046195507049561e+00	9.20046389102935791e-01
146	2.91284944162032138e-03	2.08539628982543945e+00	0.00000000000000000e+00	2.08539628982543945e+00	9.50180649757385254e-01
147	2.90906268124317691e-03	2.00799345970153809e+00	0.00000000000000000e+00	2.00799345970153809e+00	7.81924545764923096e-01
148	2.90519825594913938e-03	2.08877134323120117e+00	0.00000000000000000e+00	2.08877134323120117e+00	8.20614993572235107e-01
149	2.90125640411416277e-03	2.04395508766174316e+00	0.00000000000000000e+00	2.04395508766174316e+00	7.60433256626129150e-01
150	2.89723736889023736e-03	2.02869844436645508e+00	0.00000000000000000e+00	2.02869844436645508e+00	7.26137101650238037e-01
151	2.89314139819038573e-03	1.99161803722381592e+00	0.00000000000000000e+00	1.99161803722381592e+00	7.71973788738250732e-01
152	2.88896874467337462e-03	2.02380943298339844e+00	0.00000000000000000e+00	2.02380943298339844e+00	7.88750410079956055e-01
153	2.88471966572812844e-03	2.02884387969970703e+00	0.00000000000000000e+00	2.02884387969970703e+00	7.10823595523834229e-01
154	2.88039442345785135e-03	1.94998002052307129e+00	0.00000000000000000e+00	1.94998002052307129e+00	8.52870047092437744e-01
155	2.87599328466386006e-03	2.03686523437500000e+00	0.00000000000000000e+00	2.03686523437500000e+00	8.64932954311370850e-01
156	2.87151652082912653e-03	1.94342386722564697e+00	0.00000000000000000e+00	1.94342386722564697e+00	8.03771793842315674e-01
157	2.86696440810153179e-03	2.01423621177673340e+00	0.00000000000000000e+00	2.01423621177673340e+00	7.00124204158782959e-01
158	2.86233722727683099e-03	1.96927392482757568e+00	0.00000000000000000e+00	1.96927392482757568e+00	7.00468540191650391e-01
159	2.85763526378133388e-03	1.95115876197814941e+00	0.00000000000000000e+00	1.95115876197814941e+00	7.54698991775512695e-01
160	2.85285880765429652e-03	1.97638881206512451e+00	0.00000000000000000e+00	1.97638881206512451e+00	7.53850460052490234e-01
161	2.84800815353003283e-03	2.08352518081665039e+00	0.00000000000000000e+00	2.08352518081665039e+00	6.63927495479583740e-01
162	2.84308360061973639e-03	2.00291895866394043e+00	0.00000000000000000e+00	2.00291895866394043e+00	7.49503254890441895e-01
163	2.83808545269302820e-03	2.00950074195861816e+00	0.00000000000000000e+00	2.00950074195861816e+00	8.41810047626495361e-01
164	2.83301401805921603e-03	2.01033091545104980e+00	0.00000000000000000e+00	2.01033091545104980e+00	9.59176182746887207e-01
165	2.82786960954827622e-03	1.92408359050750732e+00	0.00000000000000000e+00	1.92408359050750732e+00	7.24362790584564209e-01
166	2.82265254449155832e-03	1.88791191577911377e+00	0.00000000000000000e+00	1.88791191577911377e+00	7.71313071250915527e-01
167	2.81736314470220966e-03	1.95523238182067871e+00	0.00000000000000000e+00	1.95523238182067871e+00	7.15467572212219238e-01
168	2.81200173645532398e-03	1.84901416301727295e+00	0.00000000000000000e+00	1.84901416301727295e+00	9.49331700801849365e-01
169	2.80656865046781737e-03	1.99714004993438721e+00	0.00000000000000000e+00	1.99714004993438721e+00	8.67997646331787109e-01
170	2.80106422187802444e-03	2.08039259910583496e+00	0.00000000000000000e+00	2.08039259910583496e+00	8.70082855224609375e-01
171	2.79548879022503043e-03	2.09345316886901855e+00	0.00000000000000000e+00	2.09345316886901855e+00	8.62838923931121826e-01
172	2.78984269942772044e-03	2.10774493217468262e+00	0.00000000000000000e+00	2.10774493217468262e+00	7.55670070648193359e-01
173	2.78412629776357166e-03	1.97291135787963867e+00	0.00000000000000000e+00	1.97291135787963867e+00	7.08171725273132324e-01
174	2.77833993784716527e-03	2.00243330001831055e+00	0.00000000000000000e+00	2.00243330001831055e+00	7.53225088119506836e-01
175	2.77248397660843611e-03	2.06632757186889648e+00	0.00000000000000000e+00	2.06632757186889648e+00	9.51751887798309326e-01
176	2.76655877527065813e-03	1.97098207473754883e+00	0.00000000000000000e+00	1.97098207473754883e+00	8.67974698543548584e-01
177	2.76056469932816099e-03	2.11181139945983887e+00	0.00000000000000000e+00	2.11181139945983887e+00	8.36164951324462891e-01
178	2.75450211852378132e-03	1.99308156967163086e+00	0.00000000000000000e+00	1.99308156967163086e+00	8.28237473964691162e-01
179	2.74837140682606274e-03	1.97857761383056641e+00	0.00000000000000000e+00	1.97857761383056641e+00	7.42682218551635742e-01
180	2.74217294240617889e-03	2.07790327072143555e+00	0.00000000000000000e+00	2.07790327072143555e+00	7.89325833320617676e-01
181	2.73590710761461393e-03	1.97981822490692139e+00	0.00000000000000000e+00	1.97981822490692139e+00	8.86177241802215576e-01
182	2.72957428895757252e-03	1.86729216575622559e+00	0.00000000000000000e+00	1.86729216575622559e+00	7.75395035743713379e-01
183	2.72317487707313859e-03	1.97344887256622314e+00	0.00000000000000000e+00	1.97344887256622314e+00	7.52155482769012451e-01
184	2.71670926670718226e-03	1.93742084503173828e+00	0.00000000000000000e+00	1.93742084503173828e+00	7.26841390132904053e-01
185	2.71017785668900557e-03	1.90228068828582764e+00	0.00000000000000000e+00	1.90228068828582764e+00	6.43484950065612793e-01
186	2.70358104990674501e-03	1.95750844478607178e+00	0.00000000000000000e+00	1.95750844478607178e+00	6.84591293334960938e-01
187	2.69691925328251637e-03	2.00542354583740234e+00	0.00000000000000000e+00	2.00542354583740234e+00	6.63928389549255371e-01
188	2.69019287774731547e-03	1.93603241443634033e+00	0.00000000000000000e+00	1.93603241443634033e+00	7.85958230495452881e-01
189	2.68340233821566911e-03	1.95427525043487549e+00	0.00000000000000000e+00	1.95427525043487549e+00	6.53781056404113770e-01
190	2.67654805356004177e-03	1.91476440429687500e+00	0.00000000000000000e+00	1.91476440429687500e+00	7.90361881256103516e-01
191	2.66963044658499781e-03	1.98969554901123047e+00	0.00000000000000000e+00	1.98969554901123047e+00	7.71682918071746826e-01
192	2.66264994400112033e-03	2.01497244834899902e+00	0.00000000000000000e+00	2.01497244834899902e+00	7.59109616279602051e-01
193	2.65560697639868979e-03	1.97197914123535156e+00	0.00000000000000000e+00	1.97197914123535156e+00	7.64766812324523926e-01
194	2.64850197822112318e-03	2.03442549705505371e+00	0.00000000000000000e+00	2.03442549705505371e+00	8.97392332553863525e-01
195	2.64133538773817520e-03	1.89032077789306641e+00	0.00000000000000000e+00	1.89032077789306641e+00	7.14572370052337646e-01
196	2.63410764701890558e-03	1.96856546401977539e+00	0.00000000000000000e+00	1.96856546401977539e+00	7.74191319942474365e-01
197	2.62681920190440624e-03	1.92472755908966064e+00	0.00000000000000000e+00	1.92472755908966064e+00	6.56732022762298584e-01
198	2.61947050198030459e-03	1.91843652725219727e+00	0.00000000000000000e+00	1.91843652725219727e+00	7.11880385875701904e-01
199	2.61206200054902747e-03	1.86420249938964844e+00	0.00000000000000000e+00	1.86420249938964844e+00	6.32046580314636230e-01
200	2.60459415460183915e-03	1.91778695583343506e+00	0.00000000000000000e+00	1.91778695583343506e+00	6.98321819305419922e-01
201	2.59706742479065555e-03	1.97176361083984375e+00	0.00000000000000000e+00	1.97176361083984375e+00	7.59415447711944580e-01
202	2.58948227539962427e-03	2.03198790550231934e+00	0.00000000000000000e+00	2.03198790550231934e+00	7.42853999137878418e-01
203	2.58183917431649033e-03	1.96202170848846436e+00	0.00000000000000000e+00	1.96202170848846436e+00	7.76849567890167236e-01
204	2.57413859300372957e-03	1.86037206649780273e+00	0.00000000000000000e+00	1.86037206649780273e+00	7.53039658069610596e-01
205	2.56638100646947162e-03	1.93415439128875732e+00	0.00000000000000000e+00	1.93415439128875732e+00	8.56452822685241699e-01
206	2.55856689323819388e-03	1.76714241504669189e+00	0.00000000000000000e+00	1.76714241504669189e+00	7.43211209774017334e-01
207	2.55069673532120960e-03	2.00000143051147461e+00	0.00000000000000000e+00	2.00000143051147461e+00	7.48079538345336914e-01
208	2.54277101818692992e-03	1.94303810596466064e+00	0.00000000000000000e+00	1.94303810596466064e+00	6.42054736614227295e-01
209	2.53479023073092165e-03	1.90265393257141113e+00	0.00000000000000000e+00	1.90265393257141113e+00	8.82980883121490479e-01
210	2.52675486524574786e-03	1.90516793727874756e+00	0.00000000000000000e+00	1.90516793727874756e+00	6.81642591953277588e-01
